"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","Federal Noxious Status","State Noxious Status","Invasive","Federal T/E Status","State T/E Status"
"ACOBC","","ACOBC","Acanthomintha obovata ssp. cordata","heartleaf thorn-mint","","","","",""
"ACOBO","","ACOBO","Acanthomintha obovata ssp. obovata","San Benito thorn-mint","","","","",""
"ACANT3","","ACANT3","Acanthospermum","starbur","","","","",""
"ACAU2","","ACAU2","Acanthospermum australe","Paraguayan starbur","","","","",""
"ACHI","","ACHI","Acanthospermum hispidum","hispid starbur","","","SWSS","",""
"ACHU","","ACHU","Acanthospermum humile","low starbur","","","","",""
"ACANT7","","ACANT7","Acanthus","acanthus","","","","",""
"ACEB3","","ACEB3","Acanthus ebracteatus","acanthus","","","","",""
"ACMO8","","ACMO8","Acanthus mollis","bear's breech","","","","",""
"ACPO10","","ACPO10","Acanthus polystachyus","","","","","",""
"ACPOP","","ACPOP","Acanthus polystachyus var. pseudopubescens","","","","","",""
"ACSP7","","ACSP7","Acanthus spinosus","spine acanthus","","","","",""
"ACSY","","ACSY","Acanthus syriacus","Syrian acanthus","","","","",""
"ACARO2","","ACARO2","Acarospora","cracked lichen","","","","",""
"ACAE","","ACAE","Acarospora aeruginosa","cracked lichen","","","","",""
"ACAL13","","ACAL13","Acarospora albomarginata","cracked lichen","","","","",""
"ACAM5","","ACAM5","Acarospora americana","American cracked lichen","","","","",""
"ACAM7","","ACAM7","Acarospora amphibola","","","","","",""
"ACAP","","ACAP","Acarospora applanata","cracked lichen","","","","",""
"ACAR8","","ACAR8","Acarospora arenacea","cracked lichen","","","","",""
"ACAR9","","ACAR9","Acarospora arenosa","cracked lichen","","","","",""
"ACAS3","","ACAS3","Acarospora asahinae","Asahina's cracked lichen","","","","",""
"ACAS4","","ACAS4","Acarospora asperata","cracked lichen","","","","",""
"ACBA4","","ACBA4","Acarospora badiofusca","cracked lichen","","","","",""
"ACBU2","","ACBU2","Acarospora bullata","cracked lichen","","","","",""
"ACCA14","","ACCA14","Acarospora caesiofusca","cracked lichen","","","","",""
"ACCA15","","ACCA15","Acarospora californica","California cracked lichen","","","","",""
"ACCA16","","ACCA16","Acarospora canadensis","Canada cracked lichen","","","","",""
"ACCA17","","ACCA17","Acarospora carnegiei","Carnegie's cracked lichen","","","","",""
"ACCE","","ACCE","Acarospora cervina","cracked lichen","","","","",""
"ACCI2","","ACCI2","Acarospora cinereoalba","cracked lichen","","","","",""
"ACCI4","","ACCI4","Acarospora citrina","","","","","",""
"ACCL6","","ACCL6","Acarospora clauzadeana","","","","","",""
"ACCO10","","ACCO10","Acarospora coloradiana","Colorado cracked lichen","","","","",""
"ACCO11","","ACCO11","Acarospora complanata","cracked lichen","","","","",""
"ACDE9","","ACDE9","Acarospora desolata","cracked lichen","","","","",""
"ACDI4","","ACDI4","Acarospora dispersa","cracked lichen","","","","",""
"ACEL2","","ACEL2","Acarospora elevata","cracked lichen","","","","",""
"ACFU2","","ACFU2","Acarospora fuscata","cracked lichen","","","","",""
"ACFU3","","ACFU3","Acarospora fuscescens","cracked lichen","","","","",""
"ACGA2","","ACGA2","Acarospora gallica","Gallic cracked lichen","","","","",""
"ACGE4","","ACGE4","Acarospora geogena","cracked lichen","","","","",""
"ACGL2","","ACGL2","Acarospora glaucocarpa","cracked lichen","","","","",""
"ACHA3","","ACHA3","Acarospora hassei","Hasse's cracked lichen","","","","",""
"ACHE6","","ACHE6","Acarospora heppii","Hepp's cracked lichen","","","","",""
"ACHE7","","ACHE7","Acarospora heufleriana","Heufler's cracked lichen","","","","",""
"ACHI6","","ACHI6","Acarospora hilaris","cracked lichen","","","","",""
"ACIM2","","ACIM2","Acarospora immersa","water cracked lichen","","","","",""
"ACIM3","","ACIM3","Acarospora impressula","cracked lichen","","","","",""
"ACIN5","","ACIN5","Acarospora instrata","cracked lichen","","","","",""
"ACIN6","","ACIN6","Acarospora interjecta","cracked lichen","","","","",""
"ACIN7","","ACIN7","Acarospora interposita","cracked lichen","","","","",""
"ACIN8","","ACIN8","Acarospora interspersa","cracked lichen","","","","",""
"ACMA10","","ACMA10","Acarospora macrospora","big spore cracked lichen","","","","",""
"ACMO6","","ACMO6","Acarospora molybdina","molybdenum cracked lichen","","","","",""
"ACNE7","","ACNE7","Acarospora nevadensis","Nevada cracked lichen","","","","",""
"ACNI6","","ACNI6","Acarospora nigromarginata","darkmargin cracked lichen","","","","",""
"ACNI7","","ACNI7","Acarospora nitida","cracked lichen","","","","",""
"ACNO6","","ACNO6","Acarospora nodulosa","nodule cracked lichen","","","","",""
"ACNON","","ACNON","Acarospora nodulosa var. nodulosa","nodule cracked lichen","","","","",""
"ACOB4","","ACOB4","Acarospora obnubila","cracked lichen","","","","",""
"ACOB5","","ACOB5","Acarospora obpallens","cracked lichen","","","","",""
"ACOL","","ACOL","Acarospora oligospora","cracked lichen","","","","",""
"ACPA7","","ACPA7","Acarospora particularis","particular cracked lichen","","","","",""
"ACPE6","","ACPE6","Acarospora peliscypha","cracked lichen","","","","",""
"ACPE7","","ACPE7","Acarospora peltastica","cracked lichen","","","","",""
"ACPY2","","ACPY2","Acarospora pyrenopsoides","cracked lichen","","","","",""
"ACRA4","","ACRA4","Acarospora radicata","cracked lichen","","","","",""
"ACRE7","","ACRE7","Acarospora reagens","","","","","",""
"ACRU5","","ACRU5","Acarospora rugulosa","cracked lichen","","","","",""
"ACSA6","","ACSA6","Acarospora saepincola","cracked lichen","","","","",""
"ACSC4","","ACSC4","Acarospora scabrida","cracked lichen","","","","",""
"ACSC5","","ACSC5","Acarospora schleicheri","Schleicher's cracked lichen","","","","",""
"ACSC6","","ACSC6","Acarospora scotica","cracked lichen","","","","",""
"ACSI4","","ACSI4","Acarospora sinopica","cracked lichen","","","","",""
"ACSM2","","ACSM2","Acarospora smaragdula","cracked lichen","","","","",""
"ACSO2","","ACSO2","Acarospora socialis","cracked lichen","","","","",""
"ACSP6","","ACSP6","Acarospora sparsa","cracked lichen","","","","",""
"ACST2","","ACST2","Acarospora stapfiana","cracked lichen","","","","",""
"ACST3","","ACST3","Acarospora strigata","cracked lichen","","","","",""
"ACSU5","","ACSU5","Acarospora succedens","cracked lichen","","","","",""
"ACSU6","","ACSU6","Acarospora superfusa","cracked lichen","","","","",""
"ACTE5","","ACTE5","Acarospora tenebrica","cracked lichen","","","","",""
"ACTE6","","ACTE6","Acarospora terricola","cracked lichen","","","","",""
"ACTH4","","ACTH4","Acarospora thamnina","cracked lichen","","","","",""
"ACTH5","","ACTH5","Acarospora thelococcoides","cracked lichen","","","","",""
"ACTH6","","ACTH6","Acarospora thermophila","heatloving cracked lichen","","","","",""
"ACTO4","","ACTO4","Acarospora tongleti","Tonglet's cracked lichen","","","","",""
"ACTU2","","ACTU2","Acarospora tucsonensis","Tucson cracked lichen","","","","",""
"ACUT","","ACUT","Acarospora utahensis","Utah cracked lichen","","","","",""
"ACVE4","","ACVE4","Acarospora veronensis","cracked lichen","","","","",""
"ACWA2","","ACWA2","Acarospora washingtonensis","Washington cracked lichen","","","","",""
"ACAUL","","ACAUL","Acaulon","acaulon moss","","","","",""
"ACMU5","","ACMU5","Acaulon muticum","acaulon moss","","","","",""
"ACMUM","","ACMUM","Acaulon muticum var. muticum","acaulon moss","","","","",""
"ACMUR","","ACMUR","Acaulon muticum var. rufescens","acaulon moss","","","","",""
"ACSC8","","ACSC8","Acaulon schimperianum","Schimper's acaulon moss","","","","",""
"ACTR4","","ACTR4","Acaulon triquetrum","acaulon moss","","","","",""
"ACER","","ACER","Acer","maple","","","","",""
"ACFR","","ACFR","Acer ×freemanii","Freeman maple","","","","",""
"ACBU4","","ACBU4","Acer buergerianum","trident maple","","","","",""
"ACCA5","","ACCA5","Acer campestre","hedge maple","","","","",""
"ACCI","","ACCI","Acer circinatum","vine maple","","","","",""
"ACCI5","","ACCI5","Acer cissifolium","ivyleaf maple","","","","",""
"ACDI12","","ACDI12","Acer diabolicum","","","","","",""
"ACFL","","ACFL","Acer floridanum","southern sugar maple","","","","",""
"ACGI","","ACGI","Acer ginnala","Amur maple","","CT(PINB)","WI","",""
"ACGL","","ACGL","Acer glabrum","Rocky Mountain maple","","","","",""
"ACGLD3","","ACGLD3","Acer glabrum var. diffusum","Rocky Mountain maple","","","","",""
"ACGLD4","","ACGLD4","Acer glabrum var. douglasii","Douglas maple","","","","",""
"ACGLG2","","ACGLG2","Acer glabrum var. glabrum","Rocky Mountain maple","","","","",""
"ACGLG","","ACGLG","Acer glabrum var. greenei","Greene's maple","","","","",""
"ACGLN2","","ACGLN2","Acer glabrum var. neomexicanum","New Mexico maple","","","","",""
"ACGLT2","","ACGLT2","Acer glabrum var. torreyi","Torrey maple","","","","",""
"ACGR3","","ACGR3","Acer grandidentatum","bigtooth maple","","","","",""
"ACGRG","","ACGRG","Acer grandidentatum var. grandidentatum","bigtooth maple","","","","",""
"ACGRS","","ACGRS","Acer grandidentatum var. sinuosum","canyon maple","","","","",""
"ACGR14","","ACGR14","Acer griseum","paperbark maple","","","","",""
"ACJA2","","ACJA2","Acer japonicum","Amur maple","","","","",""
"ACLE","","ACLE","Acer leucoderme","chalk maple","","","","","TN ()"
"ACLE2","","ACLE2","Acer leucoderme × saccharum","hybrid sugar maple","","","","",""
"ACMA3","","ACMA3","Acer macrophyllum","bigleaf maple","","","","",""
"ACNE2","","ACNE2","Acer negundo","boxelder","","","N'EAST","",""
"ACNEA","","ACNEA","Acer negundo var. arizonicum","Arizona boxelder","","","","",""
"ACNEC2","","ACNEC2","Acer negundo var. californicum","California boxelder","","","","",""
"ACNEI2","","ACNEI2","Acer negundo var. interius","boxelder","","","","",""
"ACNEN","","ACNEN","Acer negundo var. negundo","boxelder","","","","",""
"ACNET","","ACNET","Acer negundo var. texanum","boxelder","","","","",""
"ACNEV","","ACNEV","Acer negundo var. violaceum","boxelder","","","","",""
"ACNI5","","ACNI5","Acer nigrum","black maple","","","","","CT(SC)MA(SC)NH(T)"
"ACOP3","","ACOP3","Acer opalus","","","","","",""
"ACOPO","","ACOPO","Acer opalus ssp. obtusatum","","","","","",""
"ACPA2","","ACPA2","Acer palmatum","Japanese maple","","","","",""
"ACPE","","ACPE","Acer pensylvanicum","striped maple","","","","","OH(E)RI(SC)"
"ACPL","","ACPL","Acer platanoides","Norway maple","","CT(INB)MA(P)","N'EAST, WI","",""
"ACPS","","ACPS","Acer pseudoplatanus","sycamore maple","","CT(PIB)MA(P)","STATE","",""
"ACRU","","ACRU","Acer rubrum","red maple","","","N'EAST","",""
"ACRUD","","ACRUD","Acer rubrum var. drummondii","Drummond's maple","","","","",""
"ACRUR","","ACRUR","Acer rubrum var. rubrum","red maple","","","","",""
"ACRUT","","ACRUT","Acer rubrum var. trilobum","red maple","","","","",""
"ACSA2","","ACSA2","Acer saccharinum","silver maple","","","","",""
"ACSA3","","ACSA3","Acer saccharum","sugar maple","","","","",""
"ACSAS","","ACSAS","Acer saccharum var. saccharum","sugar maple","","","","",""
"ACSAS2","","ACSAS2","Acer saccharum var. schneckii","sugar maple","","","","",""
"ACSP2","","ACSP2","Acer spicatum","mountain maple","","","","","KY(E)RI(T)"
"ACTA80","","ACTA80","Acer tataricum","tatarian maple","","","","",""
"ACTAT2","","ACTAT2","Acer tataricum var. torminaloides","","","","","",""
"ACHIL","","ACHIL","Achillea","yarrow","","","","",""
"ACAE2","","ACAE2","Achillea aegyptiaca","","","","","",""
"ACAG","","ACAG","Achillea ageratifolia","yarrow","","","","",""
"ACAG3","","ACAG3","Achillea ageratum","sweet-Nancy","","","","",""
"ACAL17","","ACAL17","Achillea alpina","Chinese yarrow","","","","",""
"ACBI6","","ACBI6","Achillea biserrata","","","","","",""
"ACCA29","","ACCA29","Achillea cartilaginea","","","","","",""
"ACCH6","","ACCH6","Achillea chrysocoma","","","","","",""
"ACCL3","","ACCL3","Achillea clavennae","","","","","",""
"ACCL4","","ACCL4","Achillea clusiana","","","","","",""
"ACCL5","","ACCL5","Achillea clypeolata","","","","","",""
"ACCO19","","ACCO19","Achillea collina","","","","","",""
"ACCO20","","ACCO20","Achillea conferta","","","","","",""
"ACCR3","","ACCR3","Achillea crithmifolia","","","","","",""
"ACDI6","","ACDI6","Achillea distans","Alps yarrow","","","","",""
"ACDIT","","ACDIT","Achillea distans ssp. tanacetifolia","","","","","",""
"ACER7","","ACER7","Achillea erba-rotta","","","","","",""
"ACERR","","ACERR","Achillea erba-rotta ssp. rupestris","","","","","",""
"ACFI","","ACFI","Achillea filipendulina","fernleaf yarrow","","","","",""
"ACGR12","","ACGR12","Achillea grandifolia","","","","","",""
"ACIM6","","ACIM6","Achillea impatiens","","","","","",""
"ACLI2","","ACLI2","Achillea ligustica","Ligurian yarrow","","","","",""
"ACLI7","","ACLI7","Achillea lingulata","","","","","",""
"ACMA15","","ACMA15","Achillea macrocephala","","","","","",""
"ACMA13","","ACMA13","Achillea macrophylla","","","","","",""
"ACMI2","","ACMI2","Achillea millefolium","common yarrow","","","KY, N'EAST, NE&GP, SWSS","",""
"ACMIA","","ACMIA","Achillea millefolium var. alpicola","common yarrow","","","","",""
"ACMIA2","","ACMIA2","Achillea millefolium var. arenicola","common yarrow","","","","",""
"ACMIB","","ACMIB","Achillea millefolium var. borealis","boreal yarrow","","","","","ME(SC)"
"ACMIC","","ACMIC","Achillea millefolium var. californica","California yarrow","","","","",""
"ACMIG","","ACMIG","Achillea millefolium var. gigantea","giant yarrow","","","","",""
"ACMIL2","","ACMIL2","Achillea millefolium var. litoralis","coast yarrow","","","","",""
"ACMIM5","","ACMIM5","Achillea millefolium var. megacephala","common yarrow","","","","",""
"ACMIM2","","ACMIM2","Achillea millefolium var. millefolium","common yarrow","","","","",""
"ACMIN","","ACMIN","Achillea millefolium var. nigrescens","common yarrow","","","","",""
"ACMIO","","ACMIO","Achillea millefolium var. occidentalis","western yarrow","","","","",""
"ACMIP","","ACMIP","Achillea millefolium var. pacifica","Pacific yarrow","","","","",""
"ACMIP2","","ACMIP2","Achillea millefolium var. puberula","common yarrow","","","","",""
"ACNO","","ACNO","Achillea nobilis","noble yarrow","","","","",""
"ACOD2","","ACOD2","Achillea odorata","","","","","",""
"ACPA11","","ACPA11","Achillea pannonica","yarrow","","","","",""
"ACPT","","ACPT","Achillea ptarmica","sneezeweed","","","","",""
"ACPY5","","ACPY5","Achillea pyrenaica","","","","","",""
"ACSE10","","ACSE10","Achillea setacea","","","","","",""
"ACSI","","ACSI","Achillea sibirica","Siberian yarrow","","","","","MN(T)"
"ACUM","","ACUM","Achillea umbellata","","","","","",""
"ACHLY","","ACHLY","Achlys","achlys","","","","",""
"ACCA6","","ACCA6","Achlys californica","deer's foot","","","","",""
"ACTR","","ACTR","Achlys triphylla","sweet after death","","","","",""
"ACHNA","","ACHNA","Achnatherum","needlegrass","","","","",""
"ACBL","","ACBL","Achnatherum ×bloomeri","","","","","",""
"ACAR14","","ACAR14","Achnatherum aridum","Mormon needlegrass","","","","",""
"ACBR5","","ACBR5","Achnatherum brachychaetum","shortbristled needlegrass","","AZ(PNW)CA(AW)","STATE","",""
"ACBR6","","ACBR6","Achnatherum bromoides","","","","","",""
"ACCA30","","ACCA30","Achnatherum calamagrostis","","","","","",""
"ACCA34","","ACCA34","Achnatherum capense","Cape ricegrass","","","","",""
"ACCA36","","ACCA36","Achnatherum caragana","","","","","",""
"ACCA31","","ACCA31","Achnatherum caudatum","Chilean ricegrass","","","","",""
"ACCL7","","ACCL7","Achnatherum clandestinum","Mexican ricegrass","","","","",""
"ACCO22","","ACCO22","Achnatherum contractum","contracted ricegrass","","","","",""
"ACCO21","","ACCO21","Achnatherum coronatum","giant ricegrass","","","","",""
"ACCU6","","ACCU6","Achnatherum curvifolium","Guadalupe ricegrass","","","","",""
"ACDI10","","ACDI10","Achnatherum diegoense","San Diego needlegrass","","","","",""
"ACEM4","","ACEM4","Achnatherum eminens","southwestern needlegrass","","","","",""
"ACHE10","","ACHE10","Achnatherum hendersonii","Henderson's needlegrass","","","","",""
"ACHY","","ACHY","Achnatherum hymenoides","Indian ricegrass","","","","","MN ()"
"ACLA8","","ACLA8","Achnatherum latiglume","Sierra needlegrass","","","","",""
"ACLE8","","ACLE8","Achnatherum lemmonii","Lemmon's needlegrass","","","","",""
"ACLEL","","ACLEL","Achnatherum lemmonii var. lemmonii","Lemmon's needlegrass","","","","",""
"ACLEP","","ACLEP","Achnatherum lemmonii var. pubescens","pubescent Lemmon's needlegrass","","","","",""
"ACLE9","","ACLE9","Achnatherum lettermanii","Letterman's needlegrass","","","","",""
"ACLO7","","ACLO7","Achnatherum lobatum","littleawn needlegrass","","","","",""
"ACNE9","","ACNE9","Achnatherum nelsonii","Columbia needlegrass","","","","",""
"ACNED","","ACNED","Achnatherum nelsonii ssp. dorei","Dore's needlegrass","","","","",""
"ACNEN2","","ACNEN2","Achnatherum nelsonii ssp. nelsonii","Columbia needlegrass","","","","",""
"ACNE10","","ACNE10","Achnatherum nevadense","Nevada needlegrass","","","","",""
"ACOC3","","ACOC3","Achnatherum occidentale","western needlegrass","","","","",""
"ACOCC","","ACOCC","Achnatherum occidentale ssp. californicum","California needlegrass","","","","",""
"ACOCO","","ACOCO","Achnatherum occidentale ssp. occidentale","western needlegrass","","","","",""
"ACOCP","","ACOCP","Achnatherum occidentale ssp. pubescens","pubescent western needlegrass","","","","",""
"ACPA13","","ACPA13","Achnatherum parishii","Parish's needlegrass","","","","",""
"ACPAD","","ACPAD","Achnatherum parishii var. depauperatum","little Parish's needlegrass","","","","",""
"ACPAP","","ACPAP","Achnatherum parishii var. parishii","Parish's needlegrass","","","","",""
"ACPE12","","ACPE12","Achnatherum pekinense","","","","","",""
"ACPE13","","ACPE13","Achnatherum perplexum","New Mexico needlegrass","","","","",""
"ACPI2","","ACPI2","Achnatherum pinetorum","pine needlegrass","","","","",""
"ACRI8","","ACRI8","Achnatherum richardsonii","Richardson's needlegrass","","","","",""
"ACRO7","","ACRO7","Achnatherum robustum","sleepygrass","","","","",""
"ACSC11","","ACSC11","Achnatherum scribneri","Scribner needlegrass","","","","",""
"ACSP12","","ACSP12","Achnatherum speciosum","desert needlegrass","","","","",""
"ACSP8","","ACSP8","Achnatherum splendens","","","","","",""
"ACST7","","ACST7","Achnatherum stillmanii","Stillman's needlegrass","","","","",""
"ACSW3","","ACSW3","Achnatherum swallenii","Swallen's needlegrass","","","","",""
"ACTH7","","ACTH7","Achnatherum thurberianum","Thurber's needlegrass","","","","",""
"ACWA","","ACWA","Achnatherum wallowaense","Wallowa needlegrass","","","","",""
